"","gene.list"
"989","EFCAB2"
"990","KIF26B"
"991","CNST"
"992","SCCPDH"
"993","LOC149134"
"994","NLRP3"
"995","OR2W5"
"996","C1orf150"
"997","OR2G2"
"998","OR9H1P"
"999","TRIM58"
"1000","OR2W3"
"1001","OR2L13"
"1002","OR2L8"
"1003","OR2AK2"
"1004","OR2L2"
"1005","OR2L3"
"1006","OR2M1P"
"1007","OR2M5"
"1008","OR2M4"
"1009","OR14C36"
"1010","OR2T1"
"1011","OR2T2"
"1012","OR2T3"
"1013","OR2G6"
"1014","ZNF672"
"1015","PGBD2"
"1016","RPL23AP82"
"1017","WASH7P"
"1018","FAM138A"
"1019","FLJ43681"
"1020","UIMC1"
"1021","NCRNA00115"
"1022","TUBB8"
"1023","NOC2L"
"1024","C1orf170"
"1025","HES4"
"1026","C1orf159"
"1027","TNFRSF18"
"1028","TNFRSF4"
"1029","SDF4"
"1030","FAM132A"
"1031","UBE2J2"
"1032","ACAP3"
"1033","CPSF3L"
"1034","DVL1"
"1035","MXRA8"
"1036","AURKAIP1"
"1037","CCNL2"
"1038","MRPL20"
"1039","SSU72"
"1040","CDK11A"
"1041","SLC35E2B"
"1042","NADK"
"1043","GNB1"
"1044","TMEM52"
"1045","C1orf222"
"1046","LOC728690"
"1047","KIAA1751"
"1048","C1orf86"
"1049","MORN1"
"1050","LOC100129534"
"1051","PEX10"
"1052","PANK4"
"1053","HES5"
"1054","TNFRSF14"
"1055","MMEL1"
"1056","FLJ42875"
"1057","MEGF6"
"1058","WDR8"
"1059","KIAA0495"
"1060","LRRC47"
"1061","KIAA0562"
"1062","C1orf174"
"1063","NPHP4"
"1064","CHD5"
"1065","RPL22"
"1066","ICMT"
"1067","GPR153"
"1068","ACOT7"
"1069","HES2"
"1070","TNFRSF25"
"1071","PLEKHG5"
"1072","NOL9"
"1073","KLHL21"
"1074","DNAJC11"
"1075","LOC100129476"
"1076","TNFRSF9"
"1077","ERRFI1"
"1078","RERE"
"1079","ENO1"
"1080","SLC2A7"
"1081","SLC2A5"
"1082","GPR157"
"1083","MIR34A"
"1084","C1orf200"
"1085","CLSTN1"
"1086","FLJ16126"
"1087","CTNNBIP1"
"1088","LZIC"
"1089","DFFA"
"1090","CASZ1"
"1091","C1orf127"
"1092","MASP2"
"1093","SRM"
"1094","EXOSC10"
"1095","MTOR"
"1096","FBXO2"
"1097","MAD2L2"
"1098","MTHFR"
"1099","KIAA2013"
"1100","NPPA"
"1101","NPPB"
"1102","DHRS3"
"1103","LOC440563"
"1104","PRAMEF18"
"1105","LRRC38"
"1106","C1orf126"
"1107","CASP9"
"1108","AGMAT"
"1109","FLJ37453"
"1110","ZBTB17"
"1111","HSPB7"
"1112","FAM131C"
"1113","EPHA2"
"1114","ARHGEF19"
"1115","C1orf89"
"1116","FBXO42"
"1117","SPATA21"
"1118","CROCCP3"
"1119","CROCCP2"
"1120","EIF1AX"
"1121","ESPNP"
"1122","MST1P9"
"1123","MFAP2"
"1124","ATP13A2"
"1125","SDHB"
"1126","PADI2"
"1127","RCC2"
"1128","TAS1R2"
"1129","ALDH4A1"
"1130","IFFO2"
"1131","UBR4"
"1132","KIAA0090"
"1133","AKR7L"
"1134","AKR7A3"
"1135","AKR7A2"
"1136","CAPZB"
"1137","TMCO4"
"1138","RNF186"
"1139","PLA2G2E"
"1140","PLA2G2A"
"1141","PLA2G2D"
"1142","PLA2G2C"
"1143","CAMK2N1"
"1144","MUL1"
"1145","DDOST"
"1146","KIF17"
"1147","SH2D5"
"1148","HP1BP3"
"1149","EIF4G3"
"1150","ECE1"
"1151","RAP1GAP"
"1152","USP48"
"1153","HSPG2"
"1154","WNT4"
"1155","LUZP1"
"1156","HTR1D"
"1157","HNRNPR"
"1158","ZNF436"
"1159","TCEA3"
"1160","ASAP3"
"1161","E2F2"
"1162","ID3"
"1163","GALE"
"1164","HMGCL"
"1165","FUCA1"
"1166","CNR2"
"1167","SRSF10"
"1168","MYOM3"
"1169","IL22RA1"
"1170","IL28RA"
"1171","C1orf201"
"1172","RUNX3"
"1173","SYF2"
"1174","C1orf63"
"1175","C1orf135"
"1176","PAQR7"
"1177","STMN1"
"1178","PAFAH2"
"1179","SLC30A2"
"1180","UBXN11"
"1181","AIM1L"
"1182","ZNF683"
"1183","GPN2"
"1184","GPATCH3"
"1185","NR0B2"
"1186","C1orf172"
"1187","FAM46B"
"1188","SLC9A1"
"1189","MAP3K6"
"1190","FCN3"
"1191","CD164L2"
"1192","WASF2"
"1193","AHDC1"
"1194","FGR"
"1195","IFI6"
"1196","RPA2"
"1197","EYA3"
"1198","SPCS2"
"1199","PTAFR"
"1200","DNAJC8"
"1201","SNHG12"
"1202","SNORA61"
"1203","SNORA44"
"1204","SNORA16A"
"1205","TAF12"
"1206","TMEM200B"
"1207","SRSF4"
"1208","MECR"
"1209","LAPTM5"
"1210","SDC3"
"1211","PUM1"
"1212","SNORD103A"
"1213","NKAIN1"
"1214","SNRNP40"
"1215","FABP3"
"1216","PEF1"
"1217","COL16A1"
"1218","BAI2"
"1219","SPOCD1"
"1220","PTP4A2"
"1221","C1orf91"
"1222","MTMR9LP"
"1223","MARCKSL1"
"1224","BSDC1"
"1225","ZBTB8OS"
"1226","SYNC"
"1227","YARS"
"1228","FNDC5"
"1229","TMEM54"
"1230","RNF19B"
"1231","AK2"
"1232","TRIM62"
"1233","PHC2"
"1234","CSMD2"
"1235","C1orf212"
"1236","DLGAP3"
"1237","ZMYM6"
"1238","SFPQ"
"1239","KIAA0319L"
"1240","PSMB2"
"1241","C1orf216"
"1242","CLSPN"
"1243","COL8A2"
"1244","TRAPPC3"
"1245","STK40"
"1246","LSM10"
"1247","OSCP1"
"1248","MRPS15"
"1249","CSF3R"
